County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Andrew,5.0,1.0,0.0,0.0,4.0,92.0,32.0,57.0,3.0,0.0
Bates,33.0,0.0,0.0,0.0,33.0,195.0,58.0,115.0,22.0,1.0
Bollinger,12.0,1.0,0.0,0.0,11.0,79.0,33.0,44.0,2.0,0.0
Boone,114.0,0.0,3.0,14.0,97.0,779.0,200.0,530.0,49.0,6.0
Buchanan,20.0,0.0,0.0,2.0,18.0,247.0,71.0,163.0,13.0,4.0
Caldwell,29.0,0.0,1.0,0.0,28.0,125.0,55.0,68.0,2.0,0.0
Callaway,53.0,0.0,1.0,3.0,49.0,737.0,209.0,497.0,31.0,1.0
Cape Girardeau,9.0,0.0,1.0,1.0,7.0,320.0,116.0,187.0,17.0,6.0
Cass,46.0,1.0,6.0,1.0,38.0,367.0,94.0,244.0,29.0,1.0
Christian,55.0,0.0,0.0,2.0,53.0,350.0,124.0,180.0,46.0,0.0
Clay,36.0,2.0,7.0,2.0,25.0,235.0,96.0,112.0,27.0,6.0
Clinton,22.0,1.0,0.0,0.0,21.0,117.0,31.0,79.0,7.0,3.0
Cole,55.0,0.0,3.0,2.0,50.0,262.0,91.0,151.0,20.0,0.0
De Kalb,7.0,0.0,0.0,0.0,7.0,70.0,22.0,37.0,11.0,0.0
Franklin,50.0,2.0,1.0,2.0,45.0,561.0,147.0,371.0,43.0,0.0
Greene,88.0,1.0,20.0,6.0,61.0,1737.0,524.0,1050.0,163.0,22.0
Jackson,56.0,1.0,2.0,5.0,48.0,605.0,203.0,351.0,51.0,0.0
Jasper,172.0,0.0,9.0,3.0,160.0,753.0,271.0,415.0,67.0,6.0
Jefferson,303.0,5.0,23.0,12.0,263.0,2498.0,456.0,1844.0,198.0,17.0
Lafayette,12.0,1.0,1.0,0.0,10.0,184.0,57.0,111.0,16.0,0.0
Lincoln,57.0,0.0,0.0,0.0,57.0,297.0,123.0,151.0,23.0,0.0
McDonald,122.0,1.0,1.0,3.0,117.0,274.0,83.0,171.0,20.0,5.0
Moniteau,10.0,0.0,0.0,0.0,10.0,97.0,45.0,49.0,3.0,1.0
Newton,74.0,3.0,17.0,4.0,50.0,909.0,254.0,575.0,80.0,16.0
Osage,5.0,0.0,1.0,0.0,4.0,115.0,50.0,46.0,19.0,0.0
Platte,55.0,2.0,3.0,1.0,49.0,353.0,87.0,240.0,26.0,4.0
Polk,78.0,1.0,6.0,1.0,70.0,402.0,141.0,240.0,21.0,0.0
Ray,37.0,0.0,4.0,0.0,33.0,198.0,71.0,113.0,14.0,3.0
St. Charles,142.0,0.0,6.0,12.0,124.0,1039.0,280.0,726.0,33.0,9.0
