County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Andrew,14.0,0.0,2.0,,1.0,11.0,132.0,46.0,83.0,3.0,0.0
Bates,74.0,0.0,4.0,,1.0,69.0,201.0,69.0,114.0,18.0,0.0
Bollinger,33.0,0.0,1.0,,0.0,32.0,86.0,34.0,46.0,6.0,1.0
Boone,111.0,0.0,7.0,,12.0,92.0,712.0,139.0,524.0,49.0,4.0
Buchanan,21.0,1.0,2.0,,0.0,18.0,229.0,74.0,143.0,12.0,3.0
Caldwell,23.0,0.0,1.0,,0.0,22.0,76.0,37.0,38.0,1.0,1.0
Callaway,76.0,1.0,5.0,,7.0,63.0,588.0,183.0,383.0,22.0,2.0
Cape Girardeau,20.0,0.0,3.0,,4.0,13.0,234.0,115.0,103.0,16.0,2.0
Cass,29.0,0.0,1.0,,2.0,26.0,344.0,100.0,207.0,37.0,0.0
Christian,51.0,1.0,0.0,,0.0,50.0,346.0,117.0,182.0,47.0,0.0
Clay,13.0,0.0,3.0,,2.0,8.0,216.0,72.0,114.0,30.0,3.0
Clinton,20.0,0.0,0.0,,1.0,19.0,85.0,9.0,64.0,12.0,0.0
Cole,63.0,1.0,4.0,,3.0,55.0,237.0,66.0,157.0,14.0,0.0
Dallas,33.0,0.0,4.0,,0.0,29.0,188.0,77.0,101.0,10.0,0.0
De Kalb,10.0,0.0,0.0,,0.0,10.0,64.0,28.0,33.0,3.0,1.0
Franklin,83.0,1.0,1.0,,1.0,80.0,589.0,143.0,413.0,33.0,2.0
Greene,74.0,1.0,14.0,,9.0,50.0,1531.0,471.0,941.0,119.0,14.0
Jackson,37.0,1.0,1.0,,5.0,30.0,595.0,170.0,352.0,73.0,2.0
Jasper,113.0,1.0,2.0,,3.0,107.0,662.0,266.0,340.0,56.0,9.0
Jefferson,293.0,0.0,69.0,,11.0,213.0,2242.0,444.0,1632.0,166.0,20.0
Lafayette,8.0,1.0,3.0,,0.0,4.0,158.0,41.0,95.0,22.0,0.0
Lincoln,40.0,0.0,0.0,,0.0,40.0,249.0,93.0,129.0,27.0,2.0
McDonald,142.0,0.0,17.0,,2.0,123.0,426.0,108.0,277.0,41.0,1.0
Moniteau,17.0,0.0,1.0,,0.0,16.0,94.0,61.0,33.0,0.0,0.0
Newton,38.0,1.0,14.0,,3.0,20.0,853.0,214.0,546.0,93.0,6.0
Osage,4.0,0.0,0.0,,0.0,4.0,81.0,26.0,49.0,6.0,3.0
Platte,43.0,0.0,6.0,,1.0,36.0,318.0,64.0,223.0,31.0,4.0
Polk,61.0,0.0,6.0,,5.0,50.0,345.0,124.0,190.0,31.0,5.0
Ray,39.0,0.0,2.0,,0.0,37.0,154.0,44.0,97.0,13.0,0.0
St. Charles,118.0,1.0,6.0,,6.0,105.0,966.0,288.0,628.0,50.0,6.0
St. Louis County Police Department,1043.0,8.0,113.0,,235.0,687.0,7730.0,1769.0,5432.0,529.0,37.0
Warren,65.0,0.0,17.0,,1.0,47.0,211.0,75.0,125.0,11.0,4.0
Webster,21.0,0.0,5.0,,1.0,15.0,265.0,128.0,106.0,31.0,5.0
Adair,12.0,0.0,0.0,,0.0,12.0,171.0,84.0,81.0,6.0,3.0
Atchison,0.0,0.0,0.0,,0.0,0.0,5.0,2.0,3.0,0.0,0.0
Audrain,5.0,0.0,2.0,,1.0,2.0,160.0,66.0,86.0,8.0,1.0
Barry,74.0,0.0,8.0,,3.0,63.0,460.0,190.0,233.0,37.0,5.0
Barton,46.0,1.0,4.0,,0.0,41.0,131.0,51.0,73.0,7.0,2.0
Benton,38.0,0.0,9.0,,1.0,28.0,277.0,109.0,147.0,21.0,1.0
Butler,136.0,0.0,7.0,,4.0,125.0,602.0,142.0,404.0,56.0,0.0
Camden,39.0,0.0,2.0,,0.0,37.0,313.0,93.0,213.0,7.0,0.0
Carroll,7.0,0.0,1.0,,0.0,6.0,65.0,25.0,39.0,1.0,1.0
Carter,4.0,0.0,0.0,,0.0,4.0,56.0,23.0,28.0,5.0,0.0
Cedar,28.0,0.0,1.0,,0.0,27.0,144.0,42.0,98.0,4.0,0.0
Chariton,17.0,0.0,0.0,,0.0,17.0,106.0,36.0,57.0,13.0,1.0
Clark,10.0,0.0,0.0,,0.0,10.0,38.0,19.0,17.0,2.0,0.0
Cooper,5.0,1.0,1.0,,2.0,1.0,122.0,33.0,79.0,10.0,0.0
